pattern	regex->SR (milliseconds)	SR->NCA (milliseconds)	|NCA|	regex->NFA (milliseconds)	NFA->DFA (milliseconds)	DFA->min (milliseconds)	|NFA|	|DFA|	|min|
.*ADCC[B-D]{200,200}.*	0.1959	0.02927	6	0.14542	10.94609	3.0222	208	615	205
.*IHEGFJDCA[BD-J]{60,60}A.*	0.80829	0.08106	11	0.08116	30.0471	11.1904	74	1410	470
.*BA{0,50}(EC|EE)A{0,10}[DE]{86,86}FF.*	0.28604	0.05213	8	0.11192	6.72459	1.75086	158	456	152
.*BA{0,50}(FD|FF)A{0,10}[E-G]{43,43}H[^CG].*	0.32761	0.06513	8	0.10618	4.621	1.40641	115	330	109
.*A[^AB]{0,400}[CE]D{86,86}EE.*	0.31587	0.04068	5	2.88319	3877.10909	1802.35381	495	96705	31864
.*A[^AB]{0,400}[CG][EF]{43,43}G[^DF].*	0.2419	0.03705	5	0.55068	2109.07253	924.25131	452	54957	17458
.*A[^AB]{0,800}C[D-G]{43,53}DFG[^D-H].*	0.2875	0.04478	7	2.9509	6532.33923	3154.59827	865	200132	65163
.{20,20}.*	0.03028	0.00567	2	0.0215	0.28858	0.12382	23	42	21
.*DOHILMPKGKV[^F]+(JKISVRTMQPGKVA*EA*B[CH-K]{48,}|UHNMJHTMQPGKVA*EA*B[CH-K]{48,})[^F]+F.*	1.7373	0.33447	35	0.27586	93.75433	18.77205	151	2563	218
.*A.*[BD]C{86,86}DD.*	0.20116	0.02622	5	0.27793	4.32829	1.15756	95	272	91
.*A.*[BD]C{43,43}D[^E].*	0.19698	0.02818	5	0.04553	1.8445	0.57378	52	148	48
.*A.*B[C-F]{43,53}CEF[^C-F].*	0.25034	0.03611	7	0.05787	4.18554	1.23081	65	264	87
.*IFKKLHJG[AB]*D[AB]*E?C[^BC]{4,}C.*	0.49025	0.09058	13	0.0415	1.40755	0.51255	24	108	32
.*[AC]B{70,70}CC.*	0.15504	0.01725	4	0.05201	2.5779	0.83424	77	222	74
.*GDIIJFHE[AB]+[C-J]{52,52}([AB].*|B+.*)	0.42287	0.12844	13	0.11848	75.64179	21.03522	70	2713	443
