pattern	regex->SR (milliseconds)	SR->NCA (milliseconds)	|NCA|	regex->NFA (milliseconds)	NFA->DFA (milliseconds)	DFA->min (milliseconds)	|NFA|	|DFA|	|min|
([0-9]{1,2}[:][0-9]{1,2}[:]{0,2}[0-9]{0,2}[\s]{0,}[AMPamp]{0,2})	0.56464	0.04542	6	0.03849	0.26103	0.08775	19	21	4
([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})	1.29302	0.23744	19	0.22154	5.61443	0.49058	68	43	43
^([+a-zA-Z0-9_\-\.]+)@((\[[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.)|(([a-zA-Z0-9\-]+\.)+))([a-zA-Z]{2,6}|[0-9]{1,3})(\]?)$	0.59663	0.09153	12	0.1234	0.25845	0.24282	37	38	35
^(20|23|27|30|33)-[0-9]{8}-[0-9]$	0.30164	0.03057	8	0.04956	0.13094	0.06014	18	15	15
(1[8,9]|20)[0-9]{2}	0.27941	0.01768	5	0.03301	0.16269	0.08246	8	15	7
^((?:\+27|27)|0)(\d{2})-?(\d{3})-?(\d{4})$	1.82961	0.06663	6	0.0412	0.07281	0.05948	18	16	15
^(((((00|\+)49[ \-/]{0,1})|0)[1-9][0-9]{1,4}[ \-/]{0,1}|(((00|\+)49\()|\(0)[1-9][0-9]{1,4}\))[0-9]{1,7}[ \-/]{0,1}[0-9]{1,5})$	0.72133	0.12408	16	0.14709	0.39794	0.32175	44	49	34
^(([+]|00)39)?((3[1-6][0-9]))(\d{7})$	1.72639	0.03552	8	0.14125	0.07095	0.05442	16	15	15
^((((0?[13578]|1[02])\/([0-2]?[1-9]|20|3[0-1]))|((0?[469]|11)\/([0-2]?[1-9]|20|30))|(0?2\/([0-1]?[1-9]|2[0-8])))\/((19|20)?\d{2}))|(0?2\/29\/((19|20)?(04|08|12|16|20|24|28|32|36|40|44|48|52|56|60|64|68|72|76|80|84|88|92|96)|2000))$	8.35481	0.42656	39	0.57454	2.37427	0.18423	76	36	36
^[\d]{3}[\s\-]*[\d]{3}[\s\-]*[\d]{4}\s*$	1.65144	0.07153	7	0.01863	0.04678	0.03452	13	11	11
^([3]{1}[0-1]{1}|[1-1]?[0-9]{1})-([0-1]?[0-2]{1}|[0-9]{1})-[0-9]{4}([\s]+([2]{1}[0-3]{1}|[0-1]?[0-9]{1})[:]{1}([0-5]?[0-9]{1})([:]{1}([0-5]?[0-9]{1}))?)?$	1.031	0.1212	18	0.14957	0.14904	0.11968	28	22	22
^[89][0-9]{9}	0.09972	0.00657	3	0.01261	8E-05	0.03418	11	11	11
(\+?1[- .]?)?[.\(]?[\d^01]\d{2}\)?[- .]?\d{3}[- .]?\d{4}	3.10079	0.10112	10	0.04961	2.16021	0.89821	25	100	21
^\d{4,}$|^[3-9]\d{2}$|^2[5-9]\d$	2.78526	0.06318	6	0.03595	0.04451	0.06117	11	11	6
megaupload\.com.*(?:\?|&)(?:(?:folderi)?d|f)=([A-Z-a-z0-9]{8})	2.16624	0.30034	26	0.09277	2.43731	1.41364	35	146	33
^\d{8,8}$|^[SC]{2,2}\d{6,6}$	1.24485	0.0207	4	0.0275	6E-05	0.05246	16	16	10
(^\d{1,2}\.\d{1,2}\.\d{4})|(^\d{1,2}\.\d{1,2})|(^\d{1,2})$	1.5794	0.0299	8	0.04699	0.07393	0.04	22	12	5
^((unit|u|)\s*)?(?<unit>\d*\w?)?(\s+|/)?(?<streetNo>\d+(\-\d+)?)\s+(?<streetName>\w+)\s+(?<streetType>\w+)\s+(?<suburb>\w+(\s+\w+)?)\s+(?<state>\w+)\s+(?<postcode>\d{4})$	32.76163	0.64349	24	0.10425	0.37649	0.52727	45	45	44
^((\+){1}91){1}[1-9]{1}[0-9]{9}$	0.18171	0.0156	5	0.01886	5E-05	0.03859	14	14	14
((\(\d{3}\) ?)|(\d{3}-))?\d{3}-\d{4}	2.50997	0.03963	7	0.04655	0.29118	0.10935	21	28	9
[0-9]{4}[0-3]{1}[0-9}{1}[0-9]{5}	0.21637	0.01129	3	0.0265	1.07138	0.5787	12	124	11
^#[\dA-Fa-f]{3}(?:[\dA-Fa-f]{3}[\dA-Fa-f]{0,2})?$	1.29192	0.01875	4	0.01868	7E-05	0.03331	10	10	10
^((([a-z0-9])+([\w.-]{1})?)+([^\W_]{1}))+@((([a-z0-9])+([\w-]{1})?)+([^\W_]{1}))+\.[a-z]{2,3}(\.[a-z]{2,4})?$	18.45567	0.12591	10	0.12881	0.86254	0.77418	48	95	21
^(?<CountryCode>[1]?)\s?\(?(?<AreaCode>[2-9]{1}\d{2})\)?\s?(?<Prefix>[0-9]{3})(?:[-]|\s)?(?<Postfix>\d{4})\s?(?:ext|x\s?)(?<Extension>[1-9]{1}\d*)?$	3.02517	0.25349	14	0.06922	0.18906	0.10611	32	24	23
^\D{0,2}[0]{0,3}[1]{0,1}\D{0,2}([2-9])(\d{2})\D{0,2}(\d{3})\D{0,2}(\d{3})\D{0,2}(\d{1})\D{0,2}$	1.85883	0.17312	11	0.04013	0.20438	0.15836	34	28	27
^([A-Z]{2}\s?(\d{2})?(-)?([A-Z]{1}|\d{1})?([A-Z]{1}|\d{1})?( )?(\d{4}))$	1.96785	0.13129	8	0.03077	0.17652	0.11854	20	26	25
^([A-Z]{2}\s?(\d{2})?(-)?([A-Z]{1}|\d{1})?([A-Z]{1}|\d{1}))$	1.70333	0.06766	7	0.02232	0.06594	0.05274	13	9	9
\d{6}	2.0481	0.00437	1	0.00876	0.06088	0.03672	8	12	7
714|760|949|619|909|951|818|310|323|213|323|562|626-\d{3}-\d{4}	4.08249	0.09117	26	0.14257	8.95228	1.2564	62	106	106
\(714|760|949|619|909|951|818|310|323|213|323|562|626\)\040\d{3}-\d{4}	5.98656	0.23007	28	0.15846	8.5172	1.25334	64	86	86
\(\d{3}\)\040\d{3}-\d{4}	2.22495	0.02342	6	0.02195	0.14396	0.1321	15	28	15
^\d{1,6}\040([A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,})$|^\d{1,6}\040([A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,})$|^\d{1,6}\040([A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,})$	3.22972	0.06269	16	0.12707	0.15119	0.08367	55	19	19
^[a-zA-Z]\w{0,30}$	9.58457	0.01066	2	0.02187	5E-05	0.12132	32	32	32
(?:(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\,?[0-9]{2,3})*)(?<dec>\.)(?<postdec>[0-9]*)?$)|(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\.?[0-9]{2,3})*)(?<dec>\,)(?<postdec>[0-9]*)?$)|(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\'?[0-9]{2,3})*)(?<dec>\.)(?<postdec>[0-9]*)?$)|(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\,[0-9]{2,3})*)(?<dec>\.)(?<postdec>[0-9]*)?$)|(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\ [0-9]{2,3})*)(?<dec>\,)(?<postdec>[0-9]*)?$)|(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\'?[0-9]{2,3})*)(?<dec>\,)(?<postdec>[0-9]*)?$))	0.78837	0.21267	15	0.38741	0.61047	0.479	77	62	26
